areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage
E92000001,England,nation,2021-07-21,38595771,30402596,77.5,61.0
E92000001,England,nation,2021-07-20,38563327,30263958,77.4,60.7
E92000001,England,nation,2021-07-19,38533017,30144686,77.3,60.5
E92000001,England,nation,2021-07-18,38505174,30040362,77.3,60.3
E92000001,England,nation,2021-07-17,38480012,29936650,77.2,60.1
E92000001,England,nation,2021-07-16,38423833,29736787,77.1,59.7
E92000001,England,nation,2021-07-15,38377410,29574304,77.0,59.4
E92000001,England,nation,2021-07-14,38328153,29407117,76.9,59.0
E92000001,England,nation,2021-07-13,38282109,29260711,76.8,58.7
E92000001,England,nation,2021-07-12,38237804,29139157,76.7,58.5
E92000001,England,nation,2021-07-11,38200581,29046352,76.7,58.3
E92000001,England,nation,2021-07-10,38168972,28964668,76.6,58.1
E92000001,England,nation,2021-07-09,38090332,28786869,76.4,57.8
E92000001,England,nation,2021-07-08,38016136,28643222,76.3,57.5
E92000001,England,nation,2021-07-07,37937974,28508045,76.1,57.2
E92000001,England,nation,2021-07-06,37869178,28381690,76.0,57.0
E92000001,England,nation,2021-07-05,37803436,28275424,75.9,56.7
E92000001,England,nation,2021-07-04,37746929,28171057,75.8,56.5
E92000001,England,nation,2021-07-03,37687069,28085547,75.6,56.4
E92000001,England,nation,2021-07-02,37568561,27918037,75.4,56.0
E92000001,England,nation,2021-07-01,37469781,27781004,75.2,55.8
E92000001,England,nation,2021-06-30,37355133,27637008,75.0,55.5
E92000001,England,nation,2021-06-29,37243510,27502373,74.7,55.2
E92000001,England,nation,2021-06-28,37135192,27391327,74.5,55.0
E92000001,England,nation,2021-06-27,37037751,27290217,74.3,54.8
E92000001,England,nation,2021-06-26,36923753,27192556,74.1,54.6
E92000001,England,nation,2021-06-25,36715137,27015523,73.7,54.2
E92000001,England,nation,2021-06-24,36542877,26884960,73.3,54.0
E92000001,England,nation,2021-06-23,36351087,26752000,73.0,53.7
E92000001,England,nation,2021-06-22,36178937,26633346,72.6,53.5
E92000001,England,nation,2021-06-21,36021835,26513204,72.3,53.2
E92000001,England,nation,2021-06-20,35900781,26420374,72.0,53.0
E92000001,England,nation,2021-06-19,35762223,26341272,71.8,52.9
E92000001,England,nation,2021-06-18,35508473,26142227,71.3,52.5
E92000001,England,nation,2021-06-17,35312631,25978942,70.9,52.1
E92000001,England,nation,2021-06-16,35100761,25807139,70.4,51.8
E92000001,England,nation,2021-06-15,34929989,25629546,70.1,51.4
E92000001,England,nation,2021-06-14,34779860,25458234,69.8,51.1
E92000001,England,nation,2021-06-13,34670914,25294742,69.6,50.8
E92000001,England,nation,2021-06-12,34548266,25142968,69.3,50.5
E92000001,England,nation,2021-06-11,34317987,24864066,68.9,49.9
E92000001,England,nation,2021-06-10,34141423,24615949,68.5,49.4
E92000001,England,nation,2021-06-09,33966802,24366705,68.2,48.9
E92000001,England,nation,2021-06-08,33817113,24113609,67.9,48.4
E92000001,England,nation,2021-06-07,33711935,23866730,67.7,47.9
E92000001,England,nation,2021-06-06,33628180,23632141,67.5,47.4
E92000001,England,nation,2021-06-05,33529468,23414454,67.3,47.0
E92000001,England,nation,2021-06-04,33349919,22988879,66.9,46.1
E92000001,England,nation,2021-06-03,33201961,22667863,66.6,45.5
E92000001,England,nation,2021-06-02,33043431,22358562,66.3,44.9
E92000001,England,nation,2021-06-01,32912599,22076751,66.0,44.3
E92000001,England,nation,2021-05-31,32840628,21806198,65.9,43.8
E92000001,England,nation,2021-05-30,32770721,21658335,65.8,43.5
E92000001,England,nation,2021-05-29,32672134,21484669,65.6,43.1
E92000001,England,nation,2021-05-28,32511991,21105228,65.2,42.4
E92000001,England,nation,2021-05-27,32333760,20733302,64.9,41.6
E92000001,England,nation,2021-05-26,32094828,20376044,64.4,40.9
E92000001,England,nation,2021-05-25,31886426,20009653,64.0,40.2
E92000001,England,nation,2021-05-24,31727843,19686917,63.7,39.5
E92000001,England,nation,2021-05-23,31639612,19428093,63.5,39.0
E92000001,England,nation,2021-05-22,31535833,19207774,63.3,38.5
E92000001,England,nation,2021-05-21,31350468,18685354,62.9,37.5
E92000001,England,nation,2021-05-20,31157900,18314442,62.5,36.8
E92000001,England,nation,2021-05-19,30919801,17946340,62.0,36.0
E92000001,England,nation,2021-05-18,30679918,17638263,61.6,35.4
E92000001,England,nation,2021-05-17,30523561,17371495,61.3,34.9
E92000001,England,nation,2021-05-16,30441875,17169829,61.1,34.5
E92000001,England,nation,2021-05-15,30334160,17014812,60.9,34.1
E92000001,England,nation,2021-05-14,30121338,16658794,60.5,33.4
E92000001,England,nation,2021-05-13,29932180,16318232,60.1,32.8
E92000001,England,nation,2021-05-12,29753956,15940906,59.7,32.0
E92000001,England,nation,2021-05-11,29602656,15536346,59.4,31.2
E92000001,England,nation,2021-05-10,29503032,15229034,59.2,30.6
E92000001,England,nation,2021-05-09,29429138,15048866,59.1,30.2
E92000001,England,nation,2021-05-08,29354986,14892786,58.9,29.9
E92000001,England,nation,2021-05-07,29215451,14487533,58.6,29.1
E92000001,England,nation,2021-05-06,29107007,14071770,58.4,28.2
E92000001,England,nation,2021-05-05,29006161,13648644,58.2,27.4
E92000001,England,nation,2021-05-04,28899247,13298152,58.0,26.7
E92000001,England,nation,2021-05-03,28801960,13091718,57.8,26.3
E92000001,England,nation,2021-05-02,28743957,12998207,57.7,26.1
E92000001,England,nation,2021-05-01,28673375,12864096,57.5,25.8
E92000001,England,nation,2021-04-30,28550430,12529828,57.3,25.1
E92000001,England,nation,2021-04-29,28435476,12172775,57.1,24.4
E92000001,England,nation,2021-04-28,28324509,11776041,56.8,23.6
E92000001,England,nation,2021-04-27,28222733,11387702,56.6,22.9
E92000001,England,nation,2021-04-26,28138880,11080053,56.5,22.2
E92000001,England,nation,2021-04-25,28076635,10843517,56.4,21.8
E92000001,England,nation,2021-04-24,28015058,10619963,56.2,21.3
E92000001,England,nation,2021-04-23,27889426,10128485,56.0,20.3
E92000001,England,nation,2021-04-22,27781219,9735528,55.8,19.5
E92000001,England,nation,2021-04-21,27678296,9386368,55.5,18.8
E92000001,England,nation,2021-04-20,27585461,9047704,55.4,18.2
E92000001,England,nation,2021-04-19,27502460,8778011,55.2,17.6
E92000001,England,nation,2021-04-18,27420316,8578055,55.0,17.2
E92000001,England,nation,2021-04-17,27350572,8385790,54.9,16.8
E92000001,England,nation,2021-04-16,27236011,7910294,54.7,15.9
E92000001,England,nation,2021-04-15,27133885,7465705,54.5,15.0
E92000001,England,nation,2021-04-14,27040118,7100144,54.3,14.2
E92000001,England,nation,2021-04-13,26961961,6809431,54.1,13.7
E92000001,England,nation,2021-04-12,26926652,6576755,54.0,13.2
E92000001,England,nation,2021-04-11,26903992,6409831,54.0,12.9
E92000001,England,nation,2021-04-10,26869398,6252684,53.9,12.6
E92000001,England,nation,2021-04-09,26795747,5803123,53.8,11.7
E92000001,England,nation,2021-04-08,26736879,5392730,53.7,10.8
E92000001,England,nation,2021-04-07,26685775,4986743,53.5,10.0
E92000001,England,nation,2021-04-06,26631742,4605407,53.5,9.2
E92000001,England,nation,2021-04-05,26582495,4448366,53.4,8.9
E92000001,England,nation,2021-04-04,26565827,4401137,53.3,8.8
E92000001,England,nation,2021-04-03,26540026,4363907,53.3,8.8
