areaCode,areaName,areaType,date,newPCRTestsByPublishDate,newPillarOneTestsByPublishDate,newPillarOneTwoTestsByPublishDate,newPillarTwoTestsByPublishDate,newVirusTests
E92000001,England,nation,2021-07-20,336800,77491,817248,739757,817248
E92000001,England,nation,2021-07-19,294628,67301,1026421,959120,1026421
E92000001,England,nation,2021-07-18,247570,51378,966372,914994,966372
E92000001,England,nation,2021-07-17,348213,52769,725503,672734,725503
E92000001,England,nation,2021-07-16,374228,64017,917854,853837,917854
E92000001,England,nation,2021-07-15,380469,64801,1100634,1035833,1100634
E92000001,England,nation,2021-07-14,346102,79315,1127465,1048150,1127465
E92000001,England,nation,2021-07-13,334563,81449,857828,776379,857828
E92000001,England,nation,2021-07-12,257362,68356,1010869,942513,1010869
E92000001,England,nation,2021-07-11,290044,51393,1048633,997240,1048633
E92000001,England,nation,2021-07-10,331885,61984,694488,632504,694488
E92000001,England,nation,2021-07-09,336195,68659,841168,772509,841168
E92000001,England,nation,2021-07-08,327216,73310,1023344,950034,1023344
E92000001,England,nation,2021-07-07,345052,82777,1146270,1063493,1146270
E92000001,England,nation,2021-07-06,326368,80601,890600,809999,890600
E92000001,England,nation,2021-07-05,259960,73066,1096237,1023171,1096237
E92000001,England,nation,2021-07-04,278549,60551,1195011,1134460,1195011
E92000001,England,nation,2021-07-03,285238,65322,602340,537018,602340
E92000001,England,nation,2021-07-02,314919,71021,793495,722474,793495
E92000001,England,nation,2021-07-01,328563,72876,1034592,961716,1034592
E92000001,England,nation,2021-06-30,343350,74016,1162386,1088370,1162386
E92000001,England,nation,2021-06-29,306832,82813,805657,722844,805657
E92000001,England,nation,2021-06-28,207364,69412,1031845,962433,1031845
E92000001,England,nation,2021-06-27,242211,57625,1142493,1084868,1142493
E92000001,England,nation,2021-06-26,286148,63221,566239,503018,566239
E92000001,England,nation,2021-06-25,311946,69224,775080,705856,775080
E92000001,England,nation,2021-06-24,307749,70219,996413,926194,996413
E92000001,England,nation,2021-06-23,297761,77492,1074717,997225,1074717
E92000001,England,nation,2021-06-22,287604,84845,749282,664437,749282
E92000001,England,nation,2021-06-21,199594,72729,968510,895781,968510
E92000001,England,nation,2021-06-20,207254,56734,1082429,1025695,1082429
E92000001,England,nation,2021-06-19,280982,64826,544731,479905,544731
E92000001,England,nation,2021-06-18,283215,70094,721460,651366,721460
E92000001,England,nation,2021-06-17,289399,71651,968533,896882,968533
E92000001,England,nation,2021-06-16,284800,82758,1030988,948230,1030988
E92000001,England,nation,2021-06-15,269253,86485,711915,625430,711915
E92000001,England,nation,2021-06-14,127128,63544,885834,822290,885834
E92000001,England,nation,2021-06-13,179220,54562,997423,942861,997423
E92000001,England,nation,2021-06-12,243118,63314,489212,425898,489212
E92000001,England,nation,2021-06-11,263772,67219,679849,612630,679849
E92000001,England,nation,2021-06-10,266534,66422,874864,808442,874864
E92000001,England,nation,2021-06-09,257189,76907,1008279,931372,1008279
E92000001,England,nation,2021-06-08,249500,76364,651050,574686,651050
E92000001,England,nation,2021-06-07,157994,68429,887887,819458,887887
E92000001,England,nation,2021-06-06,163733,58992,1186643,1127651,1186643
E92000001,England,nation,2021-06-05,214656,64877,444306,379429,444306
E92000001,England,nation,2021-06-04,230097,63005,601947,538942,601947
E92000001,England,nation,2021-06-03,242923,62569,735907,673338,735907
E92000001,England,nation,2021-06-02,241925,72127,782992,710865,782992
E92000001,England,nation,2021-06-01,161299,69295,606372,537077,606372
E92000001,England,nation,2021-05-31,106953,51759,559911,508152,559911
E92000001,England,nation,2021-05-30,134809,53553,568894,515341,568894
E92000001,England,nation,2021-05-29,216514,53683,442733,389050,442733
E92000001,England,nation,2021-05-28,227054,62102,609606,547504,609606
